Letter   Occurrences   Frequency
a           389         0.0766
b            94         0.0185
c             7         0.0014
d             4         0.0008
e            38         0.0075
f           303         0.0597
g           167         0.0329
h           125         0.0246
i           445         0.0876
j           112         0.0221
k           415         0.0817
l            10         0.0020
m            50         0.0098
n           152         0.0299
o           130         0.0256
p            85         0.0167
q           233         0.0459
r            79         0.0156
s           233         0.0459
t            82         0.0161
u             5         0.0010
v           179         0.0353
w           360         0.0709
x           324         0.0638
y           373         0.0735
z           684         0.1347
