Letter   Occurrences   Frequency
a            12          0.13
b             1          0.01
c             5          0.05
d             3          0.03
e            10          0.11
f             1          0.01
g             3          0.03
h             3          0.03
i             8          0.09
j             0          0.00
k             0          0.00
l             2          0.02
m             4          0.04
n             7          0.08
o             8          0.09
p             2          0.02
q             0          0.00
r             5          0.05
s             7          0.08
t             5          0.05
u             0          0.00
v             1          0.01
w             3          0.03
x             0          0.00
y             2          0.02
z             0          0.00
